cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
7,"Balears, Illes","Balears, Illes",2014,480.0,1.0332160647146191,493.9257083333334,18-25,97.18,495.94,1
7,"Balears, Illes","Balears, Illes",2014,480.0,1.0332160647146191,1006.8098616666666,26-35,47.68,495.94,1
7,"Balears, Illes","Balears, Illes",2014,480.0,1.0332160647146191,1301.2743050000001,36-45,36.89,495.94,1
7,"Balears, Illes","Balears, Illes",2015,500.0,1.0384115222946557,511.17291666666665,18-25,97.81,519.21,1
7,"Balears, Illes","Balears, Illes",2015,500.0,1.0384115222946557,1027.4175441666666,26-35,48.67,519.21,1
7,"Balears, Illes","Balears, Illes",2015,500.0,1.0384115222946557,1326.4224516666668,36-45,37.7,519.21,1
7,"Balears, Illes","Balears, Illes",2016,500.0,1.0405208860397714,546.213625,18-25,91.54,520.26,1
7,"Balears, Illes","Balears, Illes",2016,500.0,1.0405208860397714,1049.4159291666667,26-35,47.65,520.26,1
7,"Balears, Illes","Balears, Illes",2016,500.0,1.0405208860397714,1343.8600816666667,36-45,37.21,520.26,1
7,"Balears, Illes","Balears, Illes",2017,506.94444444444446,1.0205611862446453,591.2436666666666,18-25,85.74,517.37,1
7,"Balears, Illes","Balears, Illes",2017,506.94444444444446,1.0205611862446453,1084.7524154166667,26-35,46.73,517.37,1
7,"Balears, Illes","Balears, Illes",2017,506.94444444444446,1.0205611862446453,1381.2857433333331,36-45,36.7,517.37,1
7,"Balears, Illes","Balears, Illes",2018,550.0,1.0037444693258832,635.4290804166667,18-25,86.56,552.06,1
7,"Balears, Illes","Balears, Illes",2018,550.0,1.0037444693258832,1134.4305866666666,26-35,48.48,552.06,1
7,"Balears, Illes","Balears, Illes",2018,550.0,1.0037444693258832,1422.2701049999998,36-45,38.67,552.06,1
7,"Balears, Illes","Balears, Illes",2019,600.0,0.9967743538313801,659.7663741666667,18-25,90.94,598.06,1
7,"Balears, Illes","Balears, Illes",2019,600.0,0.9967743538313801,1176.3046233333334,26-35,51.01,598.06,1
7,"Balears, Illes","Balears, Illes",2019,600.0,0.9967743538313801,1463.9662066666667,36-45,40.98,598.06,1
7,"Balears, Illes","Balears, Illes",2020,605.0,1.0,573.7623333333333,18-25,105.44,605.0,1
7,"Balears, Illes","Balears, Illes",2020,605.0,1.0,1042.9681266666666,26-35,58.01,605.0,1
7,"Balears, Illes","Balears, Illes",2020,605.0,1.0,1335.3785133333333,36-45,45.31,605.0,1
7,"Balears, Illes","Balears, Illes",2021,644.1176470588235,0.9699974935414286,638.1472716666667,18-25,100.94,624.79,1
